Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
DAOSWIXMSHYYNF-UHFFFAOYNA-N,CHEMBL3263366,1956,A,5.88,chembl20,1348544,9606,EGFR,1260,C=1C(=C(C=C(C1)C=2CC(N(N2)C3=NC(=CS3)O)C4=C5C(=CC=C4)C=CC=C5)C)C
DAPDIOHPATXXKN-SREBMQDQNA-N,CHEMBL1683971,1956,A,5.38,chembl20,728730,9606,EGFR,1260,C(N1CCOCC1)C#CC2=C(N=CN=C2NC3=CC=C(C(=C3)Cl)OCC4=CC(=CC=C4)F)C
DASFSPDIWCMVRW-LVGTVDSFNA-N,CHEMBL1990583,1956,A,6.4,chembl20,809214,9606,EGFR,1260,FC1=CC(NC(=O)NC2=CC=C(NC(=O)C3=C4N(N=CN=C4N)C=C3)C=C2)=CC=C1
DATRTCJGCFQUHH-ZYMSVLFVNA-N,CHEMBL495617,1956,N,4.52,chembl20,523777,9606,EGFR,1260,C(C1=CN(N=N1)C2CCN(CC2)CCC)NC3=CC=4C(=C(C=NC4C(=C3)Cl)C#N)NC5=CC(=C(C=C5)F)Cl
DAUQNSYSXRFWCZ-KHMGCEIBNA-N,CHEMBL1242030,1956,N,4.89,chembl20,654933,9606,EGFR,1260,N=1C=NC=2N(C(C)C)N=C(C3=CC=C(C=C3)N=S(C)(O)=O)C2C1N
CUCCQODDQJYDHL-PKRZOPRNNA-N,CHEMBL522928,1956,A,8.77,chembl20,493905,9606,EGFR,1260,C1(=CC2=C(N=CN=C2C=C1OCCOCCCCO)CC=3C=C(C(=CC3)F)Cl)NC(=O)C=C
CUGIQQYIIZWZGE-DDDHARAINA-N,CHEMBL592708,1956,A,5.24,chembl20,607148,9606,EGFR,1260,C1(=CC=C(/C=N/NC=2SC=C(N2)O)C=C1)OC
CUHZYMQBPHMOEZ-WAHZEPJJNA-N,CHEMBL1830279,1956,A,5.11,chembl20,768754,9606,EGFR,1260,C=1C(=C(/C=C/C(=N/NC(N)=S)/C=2C=CC(=CC2)OC)C=CC1)Cl
CUIDQTVRAWOMCM-BUKGPZPNNA-N,CHEMBL424872,1956,A,5.7,chembl20,809214,9606,EGFR,1260,C=1C(C(NCC2=CC=C(C=C2)S(C)(=O)=O)=O)=NC(=C(C#N)C1N)OCC
CUIOOITULADHNM-KWTSTPQINA-N,72737576,1956,A,6.33348,pubchem,1057934,9606,EGFR,1260,ClC=1C=C(NC2=NC=NC3=CC(O[C@H]4CCOC4)=C(NC(=O)N(CCCN(C)C)C)C=C32)C=CC1F
CUIQYXHABOOZFA-LBOYIXSDNA-N,CHEMBL261238,1956,N,2.3,chembl20,473565,9606,EGFR,1260,N1=CC(=C(C=2C=C(N=CC12)N(C)C3=CN=CC=C3)NC=4C=C(C(=CC4)F)Cl)C#N
CXCSYLLGUQWHHQ-UHFFFAOYNA-N,CHEMBL7866,13649,A,5.02,chembl20,103915,10090,EGFR,1260,C1=2C(C(C3=CC(Cl)=CC=C3)=CN(C1=CC(=CC2O)OC)CC(=O)OC)=O
CXCSYLLGUQWHHQ-UHFFFAOYNA-N,CHEMBL7866,1956,A,7.19,chembl20,67049,9606,EGFR,1260,C1=2C(C(C3=CC(Cl)=CC=C3)=CN(C1=CC(=CC2O)OC)CC(=O)OC)=O
CXHUEJLZRIDMGV-LBOYIXSDNA-N,44416595,1956,A,6.9431,pubchem,271124,9606,EGFR,1260,ClC=1C=C(NC2=NC=NC=3C2=CC(OC4CCN(CC4)CCOC)=C(OC)C3)C(F)=CC1
CXIHOIXBRUXAHK-MRSUPTMINA-N,CHEMBL353823,1956,A,5.08,chembl20,67040,9606,EGFR,1260,C=12N(C=C(C1C(N)=NC=N2)C3=CC=CC=C3)C4CN(C(OC(C)(C)C)=O)CC4
CXJQAZDGOBZGLJ-GWZBNUJDNA-N,CHEMBL462162,1956,A,6.14,chembl20,566606,9606,EGFR,1260,C=1C(OC)=C(C2=NC=3C=CC=CC3S2)C=CC1NC4=NC=NC5=C4C=CN5
CXKCTOXFNFRIPX-DTTMJLAUNA-N,CHEMBL3088223,1956,N,4.9,chembl20,1274575,9606,EGFR,1260,C=1C(=CC=C(C1)C(N/N=C(/CN2C(=CN=C2C)N(=O)=O)\C3=CC=C(C=C3)Br)=O)Cl
CXLKPXBPOPTFNY-ORVKFNBTNA-N,CHEMBL53299,1956,A,8.64,chembl20,66590,9606,EGFR,1260,C1(=C2C(C=NC(=C2)NCC3=CC=C(C=C3)OC)=NC=N1)NC4=CC(Br)=CC=C4
CWBWMDSAVFJNAD-DZQCGVKKNA-N,CHEMBL1970314,1956,A,6.5,chembl20,809214,9606,EGFR,1260,O=C(N)C1=C2N=CC=CC2=CC(=C1)C3=CC(N)=CC=C3
CWCLGIJGJSHBLC-HVXXBKQBNA-N,5327864,1956,A,5.25181,pubchem,69417,9606,EGFR,1260,ClC1=C(C=2C(=O)N(C3=NC(=NC=C3C2)N)C)C(Cl)=CC=C1
CWFIQHQECWPWQG-QGSRTERENA-N,CHEMBL131193,1956,A,6.04,chembl20,67052,9606,EGFR,1260,[C@]12(N3C4=C5C(C6=C(N5[C@@H](O1)C[C@@H]([C@@H]2OC)N(CC7=CC=CC=C7)C)C=CC=C6)=C8C(=C4C9=C3C=CC=C9)CNC8=O)C
CWKHHWBULLPWMQ-BDGWVKIONA-N,44564330,1956,A,9.37986,pubchem,345876,9606,EGFR,1260,O=C(NC=1C2C(N=CN=C2NC=3C=C(C=CC3)C)=CC1)C=C
CWOXUSIEQFFVBX-UHFFFAOYNA-N,CHEMBL307179,1956,N,4.26,chembl20,66741,9606,EGFR,1260,C=1(N(=O)=O)C(=C(OC)C=C(C1)C=C(C#N)C#N)O
CVJUVNFCJFFASS-OVCLIPMQNA-N,CHEMBL55993,1956,N,4.97,chembl20,159832,9606,EGFR,1260,C(\C(C1=C(C=C(C=C1C)C)C)=O)(=C/C2=CC(O)=C(C=C2)O)/C#N
CVLIKWREJQZPKH-UYBDAZJANA-N,CHEMBL172449,1956,A,6.4,chembl20,66591,9606,EGFR,1260,C=1(C(O)=NO)C(=CC=C(NCC2=C(C=CC(=C2)O)O)C1)O
CVNRNJTZYYQYLI-PZFTXXFSNA-N,CHEMBL86326,1956,N,4.71,chembl20,63615,9606,EGFR,1260,C/1(\C(NC=2C1=CC(=CC2)Cl)=O)=C\C=3C=C(C(C)(C)C)C(=CC3)OC
CVOBHHJUXHKVTR-CRXPSOSONA-N,CHEMBL290389,1956,A,6.46,chembl20,217009,9606,EGFR,1260,C1(=NC2=CC=CC=C2S1)SC=3C(=C(OC)C=C(/C=C(/C(=O)N)\C#N)C3)O
CQWFGMZHJNVDTC-UHFFFAOYNA-N,44442185,1956,A,7.92082,pubchem,309841,9606,EGFR,1260,O(C1=C(OCC)C=C2N=CN=C(C2=C1)C#CC=3N(C4=CC=CC=C4)C=CN3)CC
CQXFMKMVOOUGSS-LQFNOIFHNA-N,CHEMBL1980163,1956,A,7.0,chembl20,809214,9606,EGFR,1260,O(C1=CC=C(NC=2N=CN=C3C2C=CC=C3)C=C1)CC4=CC=CC=C4
CQZRHVILVDPGCV-BDGWVKIONA-N,CHEMBL3233767,1956,A,7.8,chembl20,1335368,9606,EGFR,1260,N=1C2=C(C(=NC1)NC=3C=C(C(=CC3)F)Cl)C=C(S2)NC(C=C)=O
CQZZCFVTEOJWAW-VEWCPZSHNA-N,CHEMBL131577,1956,A,5.0,chembl20,67056,9606,EGFR,1260,C=1(SC(NC(C2CC2)=O)=NC1)C(NC3=C(Cl)C=CC=C3C)=O
CRHHOHXNIKMBPH-QUSKLPIVNA-N,CHEMBL2385975,1956,A,6.1,chembl20,961867,9606,EGFR,1260,C1(=C(C=C(C(=C1)C(=O)NC2=CC(=C(C=C2)OCC3=NC=CC=C3)Cl)N)OCC)NC(/C=C/CN(C)C)=O
CSDDCHPGQGWRLI-FHGMOFAHNA-N,CHEMBL378627,1956,A,5.7,chembl20,809214,9606,EGFR,1260,C1=C(C(C#N)=C(N=C1NC(CC2=CC(=C(C=C2OC)S(=O)(=O)C)OC)=O)OC(C)C)N
CSHGVUBBAZPQSJ-BJJGNKMJNA-N,CHEMBL57251,1956,A,5.77,chembl20,159832,9606,EGFR,1260,C(\C(NC1=C(C=C(C=C1)OC)OC)=O)(=C/C=2C=C(O)C(=CC2)O)/C#N
CSLIGEUJAPEVBH-VYQLSQACNA-N,CHEMBL1830273,1956,N,4.91,chembl20,768754,9606,EGFR,1260,C=1C=C(/C=C/C(=N/NC(N)=S)/C2=CC=C(C=C2)Br)C=CC1
CSMDANWISUYBHA-GQYRCTTQNA-N,CHEMBL1976328,1956,A,5.7,chembl20,809214,9606,EGFR,1260,S1N=C(N)C=2C(C=3C=CC(NC(=O)NC4=CC(=CC(=C4)C)C)=CC3)=CC=CC12
CSQZSEYDHDYCQL-WYUMXYHSNA-N,CHEMBL1945646,1956,N,4.67,chembl20,801719,9606,EGFR,1260,O=S(NC(=O)C1=C(N=C(C=C1)C)Cl)(C2=CC=CC=C2)=O
CTAHCBONHHOZRK-BQYQJAHWNA-N,CHEMBL1171273,1956,N,4.49,chembl20,642727,9606,EGFR,1260,C=1C(/C=C/C(OCCN2C(=CN=C2C)N(=O)=O)=O)=C(C=CC1)OC
CTAZKUKBHBXUFJ-TWSYTRIPNA-N,CHEMBL171256,1956,N,4.84,chembl20,67061,9606,EGFR,1260,C1=2N(C=C(C1=C(N)N=CN2)C3=CC=CC=C3)C(CC4=CC=C(C=C4)OC)CO
CTCXKWWYXMCWMT-UYBDAZJANA-N,CHEMBL606027,1956,N,4.66,chembl20,607157,9606,EGFR,1260,C1(=C(C(CN(C(NC=2C=CC=CC2)=S)CCCC)=CC=C1)O)Br
CTJAMSGCMYAVCZ-CMLSCEPHNA-N,CHEMBL1682545,1956,A,5.7,chembl20,809214,9606,EGFR,1260,C1(=CC=C2C(=C1)C=NN2)C=3N=C(SC3)NC=4C=CC=CC4
CTNPALGJUAXMMC-QARZNQDCNA-N,10138259,1956,A,5.48149,pubchem,625007,9606,EGFR,1260,FC1=CC=2/C(=C/C=3NC(=C(C3C)C(=O)NC[C@H](O)CN4CCOCC4)C)/C(=O)NC2C=C1
CYDSVLVEOYKRBO-LILDFLRNNA-N,CHEMBL50245,1956,A,6.49,chembl20,66590,9606,EGFR,1260,N1=C2C(C(NC=3C=C(Br)C=CC3)=NC=N2)=CC=C1N(C)C
CYFPQVFLFVUCKY-AATRIKPKNA-N,CHEMBL1172951,1956,N,4.91,chembl20,642727,9606,EGFR,1260,C=1C(=CC(=CC1)F)/C=C/C(OCCN2C(=CN=C2C)N(=O)=O)=O
CYHXVYFANUHAQW-BNKIIVJNNA-N,CHEMBL1271561,1956,A,7.92,chembl20,676221,9606,EGFR,1260,N1=CN=C(C=2C3=C(SC21)CN(C(=O)CC=CN(C)C)CC3)N[C@H](C)C4=CC=CC=C4
CYKWMIZUFXPHFW-YHSKDTNENA-N,CHEMBL1241492,1956,A,5.08,chembl20,654933,9606,EGFR,1260,N1=CN=C2N(C(C)C)N=C(C3=CC=4C(C=C3)=NON4)C2=C1N
CYMDDJODSVMYBQ-LILDFLRNNA-N,CHEMBL296582,1956,A,5.51,chembl20,66907,9606,EGFR,1260,OC1=CC2=C(C=C1O)C=NC(=C2)C(=O)NCC3=CC=CC=C3
CYNKFMRSHNIJPN-ZSESTDQDNA-N,44428893,1956,A,7.91364,pubchem,295762,9606,EGFR,1260,ClC=1C=C(COC=2C(=O)C=C(NC3=NC=NC=4C3=CC(NC(=O)/C=C/CN(C)C)=C(OCC)C4)C(=O)C2)C=CC1
CYOARVZSCJFENO-LELJVTLKNA-N,CHEMBL2334003,1956,A,7.87,chembl20,942125,9606,EGFR,1260,O(CCCNCCN)C=1C=C2C(=NC=NC2=CC1OC)NC3=CC(=C(C=C3)F)Cl
CYOHGALHFOKKQC-MPIMZMORNA-N,CHEMBL1614701,1956,A,5.66,chembl20,774487,9606,EGFR,1260,C=1(C=2N=CN(C2C=C(C1NC=3C(=CC(=CC3)Br)Cl)C(NOCCO)=O)C)F
CYPPOEGHMPBJMF-FKCKLRASNA-N,CHEMBL2335377,1956,N,4.07,chembl20,946709,9606,EGFR,1260,C=1(N=C2C(=C(N1)NC=3C=C(C(=CC3)F)Br)C=C(N2)CCC=4C=CC=CN4)N
CYQGGEIFCSVNDW-RGVBFFNGNA-N,CHEMBL461114,1956,A,7.12,chembl20,512831,9606,EGFR,1260,N=1C(NC=2C=C(Cl)C(OCC3=CC=CC=C3)=CC2)=C(C(NC4=CC=CC=C4)=O)C(N)=NC1
CYRAGAWSGXXYDS-HQWBRPTQNA-N,CHEMBL2031313,1956,A,7.43,chembl20,818652,9606,EGFR,1260,C(CCN1CCOCC1)(=O)NC=2C=C3C(=C(C=NC3=CC2OCC)C#N)NC=4C=C(C(=CC4)OCC=5C=CC=CN5)Cl
CYVRFHRDWQAJGA-RIQJSNIBNA-N,CHEMBL104466,1956,A,5.43,chembl20,67065,9606,EGFR,1260,N=1C2=CC(OC)=C(C=C2N=CC1N[C@H]3CC[C@@H](CC3)O)OC
AOMMPEGZDRAGRC-MPIMZMORNA-N,CHEMBL223147,1956,A,7.6,chembl20,513928,9606,EGFR,1260,C=12C(=CC=3N(C(=O)C(C)(C)C3C1)CC)C=4CCCC=5C(C4N2)=NNC5C
AORLUMDMFWSHLT-XIIHXETKNA-N,CHEMBL128468,1956,A,9.55,chembl20,63783,9606,EGFR,1260,N=1C=2C(=CN=C(C2)NCCCC(O)=O)C(=NC1)NC=3C=CC=C(C3)Br
AOUMXCXOJGAKLX-PDJAEHLQNA-N,CHEMBL475351,1956,A,5.29,chembl20,566606,9606,EGFR,1260,C=1C(OC)=C(C=CC1NC2=NC(=NC3=C2C=CN3)OC)C4=NC=5C=CC=CC5S4
APBCLSCKMPCKMF-LQFNOIFHNA-N,CHEMBL591288,1956,A,6.25,chembl20,607157,9606,EGFR,1260,C=1(C(O)=C(CN(C(NC=2C=CC=CC2)=S)CC3=CC=C(C=C3)O)C=C(C1)Cl)Cl
APCFVCIEZAMJBU-NHUPZJIONA-N,CHEMBL246073,1956,A,6.72,chembl20,454316,9606,EGFR,1260,C=1N2C(C(=NC=N2)NC=3C=C4C=NN(C4=CC3)CC5=CC(=CC=C5)F)=C(COC[C@H]6CCCNC6)C1
AQOVRLPHUSWQJQ-LQFNOIFHNA-N,CHEMBL589801,1956,A,5.07,chembl20,607157,9606,EGFR,1260,C=1(C=CC=C(CN(C(NC=2C=CC=CC2)=S)CC=3C=CC(=CC3)F)C1O)C
AQQWWOMMPDCTLW-DVIAZDKANA-N,CHEMBL1998829,1956,A,5.7,chembl20,809214,9606,EGFR,1260,ClC=1C=CC(C(=O)NC=2C=C3C(C4=CC=CC=C4)=CNC3=NC2)=CC1
AQXIMVWUURMKKC-LQFNOIFHNA-N,CHEMBL605957,1956,A,5.24,chembl20,609779,9606,EGFR,1260,C=1(C=CC=2NC=C(C=3C(=O)NC(C3C4=CC(=C(C(=C4)OC)OC)OC)=O)C2C1)Br
AQZIXHSRFOGYHF-LILDFLRNNA-N,CHEMBL1997872,1956,A,5.7,chembl20,809214,9606,EGFR,1260,O=C(N1CCOCC1)C2=CC(C=3C=C4C(=NC3)NC=C4)=CC=C2
ARGNVJPDKVQMDV-HCKMINDGNA-N,CHEMBL115745,1956,A,7.25,chembl20,63762,9606,EGFR,1260,C1=2C(=NC=NC1=CC(=C(C2)O)OC)NCC=3C=CC=CC3
ARHVERBRASNVPZ-HCKMINDGNA-N,CHEMBL1945648,1956,A,5.58,chembl20,801719,9606,EGFR,1260,O=S(NC(=O)C1=C(N=C(C=C1)C)Cl)(C2=CC=C(C=C2)Br)=O
ARIOBGGRZJITQX-KHNRKFPJNA-N,CHEMBL261720,1956,N,4.6,chembl20,887867,9606,EGFR,1260,FC1=CC=CC(F)=C1NC(=S)N2N=C(N=C2N)NC3=CC=C(C=C3)S(=O)(=O)N
ARIVUBGTKLBGEN-PKSOQXRJNA-N,CHEMBL202504,1956,A,5.6,chembl20,333595,9606,EGFR,1260,N1C(=O)C(C2=CNC=3C2=CC=CC3)=C(C4=CC=C(C=C4)OC)C1=O
ARSLABFLEJRETK-MTTPVDACNA-N,CHEMBL2426279,1956,A,5.89,chembl20,980992,9606,EGFR,1260,C1=CN=C(N=C1C2=CNC3=C2C=CC=C3)NC4=C(C=C(C(=C4)NC(C=C)=O)N5CCN(CC5)C)OC
ARTXCXRRTXRAOJ-UHFFFAOYNA-N,71525008,1956,A,6.92082,pubchem,725966,9606,EGFR,1260,O(C=1C=CC(C2=NN(C(C2)C3=CC=4C(C=C3)=CC=CC4)C5=CC=CC=C5)=CC1)C
ASAVPQOOHXZTPY-CYSPOYASNA-N,CHEMBL348554,1956,N,4.76,chembl20,65135,9606,EGFR,1260,C1(=C(C2=CC=CC=C2N1C)C(=O)NCCN(C)C)SSC3=C(C=4C=CC=CC4N3C)C(=O)NCCN(C)C
ASCVQXWPIHGQIB-HGKQKYKZNA-N,CHEMBL2347963,1956,A,8.1,chembl20,952261,9606,EGFR,1260,C1=NC(=C2C(=N1)OC(=C2C3=CC(=CC=C3)NC(CCN(C)C)=O)C4=CC=CC=C4)N[C@H](CO)C5=CC=CC=C5
ASEKFENKLHTYMI-YZXVHXDQNA-N,CHEMBL123189,1956,A,8.1,chembl20,66565,9606,EGFR,1260,C=1(C2=C(NN=C2N=CN1)NCC3=CC(OC)=CC=C3)NC=4C=C(Cl)C=CC4
ASFADYMEYHSSND-LNNLXFCONA-N,CHEMBL1789962,1956,A,7.26,chembl20,808852,9606,EGFR,1260,COC1=CC(C=NNC=2N=CN=C3N(CC4=CC=CC=C4)N=CC23)=CC=C1O
ASHKAXPHUUQQTC-UHFFFAOYNA-N,18770812,1956,A,5.25181,pubchem,309841,9606,EGFR,1260,O(C=1C=C2C(N=CN=C2C#CC3=CC=CC=C3)=CC1OC)C
ASLAQNLSYGJKNM-MPIMZMORNA-N,CHEMBL306732,1956,A,7.03,chembl20,67058,9606,EGFR,1260,C=12SC(C3=CC=CC=C3)=CC1N=CN=C2NC4=CC=C(C=C4)N(C)C
ANKRQIPZSYBSGR-PDJAEHLQNA-N,CHEMBL199440,1956,A,7.6,chembl20,329286,9606,EGFR,1260,C1=CC(C(=O)NC2=CC=CC(C(=O)N3CCCC3)=C2)=C(O)C=C1NC(C=C)=O
ANNOGSJJXIDSKS-JWGDJKKVNA-N,CHEMBL143805,1956,A,5.52,chembl20,66876,9606,EGFR,1260,C(\C(NCC=1C=CC(=CC1)O)=O)(=C/C2=CC(O)=C(C=C2)O)/C#N
ANTGDNVDDIVKOM-PKRZOPRNNA-N,44564435,1956,A,9.11014,pubchem,345876,9606,EGFR,1260,BrC1=CC(CC=2N=CN=C3C2C=C(NC(=O)C=C)C(SCCCN(CC)CC)=C3)=CC=C1
ANUHLKPVOXDYSK-NSJMMFDCNA-N,CHEMBL219557,1956,A,6.64,chembl20,423049,9606,EGFR,1260,N1=CC(C#N)=C(C2=C1C=C(C(=C2)OC)C=3C=C(OC3)CN4CCN(CC4)C)NC=5C(=CC(Cl)=C(OC)C5)Cl
ANVSBKWSKKMDIN-SQBIMTKRNA-N,CHEMBL2381506,1956,A,7.23,chembl20,958682,9606,EGFR,1260,O=S(=O)(C=1C(OCCOC(CN2CCN(CC2)C3=CC(=C(C=C3)NC4=NC=C(C(=N4)OC5=CC(=CC=C5)NC(C=C)=O)Cl)OC)=O)=NO[N+]1O)C6=CC=CC=C6
ANVYMDPUMZNGLO-XBTAAFKLNA-N,CHEMBL125568,1956,A,7.85,chembl20,63783,9606,EGFR,1260,N=1C=2C(=CN=C(C2)NC(CO)CO)C(=NC1)NC3=CC(=CC=C3)Br
AOBLBPWPSKBHSI-RCPSYSLXNA-N,CHEMBL1975128,1956,A,5.7,chembl20,809214,9606,EGFR,1260,IC=1N(N=NC1C2=CC=3C(=NNC3N)C=C2)CC4=CC=CC=C4
AODCQEOEMRWMAS-UHFFFAOYNA-N,CHEMBL123046,1956,N,4.38,chembl20,63769,9606,EGFR,1260,C1(=C(C=CC(=C1)O)O)CNC2=CC=C(C=C2)O
AKHRMFAGIBQWDR-LQFNOIFHNA-N,CHEMBL1789961,1956,A,6.59,chembl20,808853,9606,EGFR,1260,COC1=CC(C=NNC=2N=CN=C3N(N=CC23)C4=CC=CC=C4)=CC=C1O
AKMYYMMBISZQDW-ZYBQDSMONA-N,CHEMBL2337369,1956,N,4.23,chembl20,946792,9606,EGFR,1260,N1=C(N=C2C(=C1NC3=CC=C(C=C3)Cl)C4=C(N2)C=CC=C4Cl)NC(=O)C(C)(C)C
AKSMEOTWWFYYSQ-ULDHRCHENA-N,CHEMBL417420,1956,A,8.54,chembl20,63759,9606,EGFR,1260,C=12C(=NC=NC1C=NC(=N2)NCCCN3CCOCC3)NC4=CC(Br)=CC=C4
AKTXASBDBOSAKZ-NEJHMAHINA-N,CHEMBL309334,1956,A,5.6,chembl20,66720,9606,EGFR,1260,C1(=C(C=CC(=C1)/C=C(\C#N)/C(C(C#N)C#N)=N)O)O
AKWVKIGCMCHYJT-ZFJUVRDGNA-N,CHEMBL2004419,1956,A,7.2,chembl20,809214,9606,EGFR,1260,S1C=2N(C(C=3C=C4N(C(=NC4=C(F)C3)N)CC(C)C)=C(N2)C5=CC=C(F)C=C5)C=C1
ALHCPRCDPYVWCG-HXTKINSTNA-N,72191671,1956,A,7.60206,pubchem,770794,9606,EGFR,1260,ClC=1C=C(NC2=NC=NC=3C2=CC(OCCCN4CC(O)C4)=C(OC)C3)C=CC1F
ALIUINIUQNOYBC-QLMXMLBTNA-N,CHEMBL3233795,1956,A,8.7,chembl20,1335368,9606,EGFR,1260,C12(OCCO1)CCN(C/C=C/C(NC3=CC=4C(=NC=NC4S3)NC=5C=C(C(=CC5)F)Cl)=O)CC2
ALLFOBCVMVMHJI-PUXXYCQMNA-N,CHEMBL2032376,1956,A,8.94,chembl20,819567,9606,EGFR,1260,N1=C(N=C2N(C(N(CC2=C1)C)=O)C=3C=CC=C(NC(C=C)=O)C3)NC4=C(C=C(C=C4)N5CCN(CC5)C)OC
ALUHXQXQTNRXQL-KPKJPENVNA-N,5328761,1956,A,6.25181,pubchem,162571,9606,EGFR,1260,FC=1C=CC(C(=O)/C(=C/C2=CC(O)=C(O)C=C2)/C#N)=CC1
APOTYTDQPVERBH-UHFFFAOYNA-N,CHEMBL1821887,1956,N,4.7,chembl20,766557,9606,EGFR,1260,C1(=CC=C(C=C1)C=2CC(C=3C=CC(OC)=CC3)N(N2)C=4SC=C(N4)C5=CC=C(C=C5)Cl)Br
APUCFXHENVUXCY-GQYRCTTQNA-N,CHEMBL1964307,1956,A,5.7,chembl20,809214,9606,EGFR,1260,O=C(NC=1C=C(C=CC1)C)CC2=CC=C(C3=C4C(NN=C4N)=CC=C3)C=C2
APXDAYLGZSXVDB-LILDFLRNNA-N,CHEMBL296377,1956,A,7.4,chembl20,66590,9606,EGFR,1260,C=1(C=2C(=CN=C(C2)Cl)N=CN1)NC=3C=C(Br)C=CC3
APYYTEJNOZQZNA-BXJIUOGWNA-N,CHEMBL149201,1956,N,4.66,chembl20,82323,9606,EGFR,1260,C=1(/C=C/2\C(NC3=C2C=CC(C=4C=CC=CC4)=C3)=O)NC(C)=C(C1C)CCC(O)=O
APZJVORBGFQNIQ-UDFIBAKQNA-N,CHEMBL166255,1956,A,8.77,chembl20,66725,9606,EGFR,1260,C=1(C=2C(=CN=C(C2)NCCN(CCO)C)N=CN1)NC3=CC(Br)=CC=C3
AQDWLHMFJHACCX-UHFFFAOYNA-N,CHEMBL1968245,1956,A,5.7,chembl20,809214,9606,EGFR,1260,ClC1=NC=C(C=C1OCC(N)CC=2C=3C(NC2)=CC=CC3)C=CC4=CC=NC=C4
AMJXCROVFRQROE-HXTKINSTNA-N,CHEMBL271408,1956,A,8.45,chembl20,468986,9606,EGFR,1260,N=1C=CC=2C(C1)=C(N=CN2)NC3=CC=CC(=C3NCCCN4C=NC=C4)C
AMKNQROTNAOJQE-DHDJHLBQNA-N,CHEMBL50647,1956,A,6.66,chembl20,66588,9606,EGFR,1260,N1(C2=NC(NC3=CC=C(CC(=O)O)C=C3)=NC=C2C=C(C1=O)C4=C(Cl)C=CC=C4Cl)C
AMKUXKLKCBIHIX-LQFNOIFHNA-N,CHEMBL109625,1956,N,4.21,chembl20,753968,9606,EGFR,1260,C1=2C(=C(C#N)C=NC1=CC(=C(C2)OC)OC)NC3=CC(C(C)C)=CC=C3
AMNMNCDIOSLFSA-UHFFFAOYNA-N,CHEMBL1929307,1956,N,4.91,chembl20,792378,9606,EGFR,1260,C1=CC(C2=NN=C(SCC3=CC=CC=C3)O2)=C(C=C1)OC
AMPJVHBLKDNTBD-MPIMZMORNA-N,CHEMBL590714,1956,A,5.97,chembl20,607157,9606,EGFR,1260,C1(=CC=CC(CN(C(NC2=CC=CC=C2)=O)CC=3C=CC(=CC3)O)=C1O)Br
